row__restname,row__la,row__lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk뷰아파트경로당,37.6219309,127.053591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
극동아파트경로당,37.6295063,127.0458072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사슴2단지경로당,37.6322465,127.0607686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사슴3단지경로당,37.6320936,127.0598137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그랑빌아파트경로당,37.6175628,127.06918,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕유마을2단지경로당,37.509,126.765824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕유마을3단지경로당,37.509567,126.768371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕유마을4단지경로당,37.509,126.765824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥산경로당,37.504066,126.778358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공릉2단지아파트경로당,37.6306236,127.066817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공릉3단지아파트경로당,37.6275817,127.0685363,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공릉4단지아파트경로당,37.6299524,127.0716369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공릉우성아파트경로당,37.6287586,127.0726508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대동2차아파트경로당,37.6268382,127.0701885,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신원아파트경로당,37.6277304,127.0751077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공릉풍림아파트경로당,37.6294596,127.0669699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공릉동신도1차아파트경로당,37.6274627,127.0702207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신도2차브래뉴아파트경로당,37.6256443,127.0716959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성원아파트경로당,37.6291707,127.0623136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행복한마을서해경로당,37.502745,126.751123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상미경로당,37.494485,126.742836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진달래마을신동아경로당,37.509612,126.758078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라일락마을대우유림경로당,37.509063,126.750396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라일락마을경남아너스빌경로당,37.511825,126.750915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진달래마을대림경로당,37.510898,126.757808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다정한마을경남아너스빌경로당,37.514738,126.756319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진달래마을효성경로당,37.50808,126.757153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
택전1리마을회관,36.536027,129.164356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
택전2리마을회관,36.528074,129.174026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소계경로당,36.601145,129.149926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
논실경로당,36.544494,129.139672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석보면분회,36.559877,129.125569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
